,Company_Name,Code_Name,Subsector,Equity,PBVR,DER,Div_Yield,ROE,DPR
0,Multifiling Mitra Indonesia Tb,MFMI,Others - Trade Services & Inve,245.12,1.59,0.9744,0.5126,0.1333,6.1395
1,Pembangunan Graha Lestari Inda,PGLI,"Tourism, Restaurant And Hotel",64.94,1.62,0.4399,0.0463,0.0274,2.5
2,Colorpak Indonesia Tbk.,CLPI,Wholesale (Durable & Non-Durab,481.99,0.46,0.4772,0.0755,0.0921,0.3799
3,Enseval Putera Megatrading Tbk,EPMT,Wholesale (Durable & Non-Durab,6260.0,0.8,0.5354,0.0486,0.1124,0.3462
4,MNC Studios International Tbk.,MSIN,"Advertising, Printing And Medi",1430.0,0.92,0.6068,0.0833,0.1669,0.4565
5,United Tractors Tbk.,UNTR,Wholesale (Durable & Non-Durab,63100.0,1.09,0.7688,0.0656,0.1155,0.6205
6,Mitra Pinasthika Mustika Tbk.,MPMX,Wholesale (Durable & Non-Durab,7020.0,0.31,0.4806,0.1844,0.0376,1.5254
7,Hexindo Adiperkasa Tbk.,HEXA,Wholesale (Durable & Non-Durab,2496.62,1.05,0.4918,0.139,0.2155,1.3737
8,Multipolar Technology Tbk.,MLPT,Computer And Services,928.04,1.2,1.2698,0.2235,0.1425,1.8732
9,Jasuindo Tiga Perkasa Tbk.,JTPE,"Advertising, Printing And Medi",718.36,1.85,0.553,0.0581,0.057,1.875
10,AKR Corporindo Tbk.,AKRA,Wholesale (Durable & Non-Durab,8540.0,1.16,1.3155,0.0447,0.1067,0.4846
11,Surya Pertiwi Tbk.,SPTO,Wholesale (Durable & Non-Durab,1240.0,1.08,1.14,0.0806,0.1323,0.6557
12,Link Net Tbk.,LINK,"Advertising, Printing And Medi",4550.0,1.26,0.5195,0.089,0.1738,0.6478
