Company_Name,Code_Name,Subsector,MR_Quarter,Fin_Yr_End,Iss_Share,Mar_Cap,St_Ind,Sales,Assets,Liability,Equity,Cash_Flow,Op_Profit,Net_Profit,DPS,EPS,RPS,BVPS,CFPS,CEPS,NAVS,Div_Yield,PER,PSR,PBVR,PCFR,DPR,GPM,OPM,NPM,EBITM,ROE,ROA,DER,CR,QR,CRR
"Polychem Indonesia Tbk",ADMG,"Tetile, Garment",31/03/2020,December,3.89,400.59,9.2,798.7,3339.14,560.42,2778.86,17.22,-64.12,-61.18,0,-63,821.8,714,18.2,49,714,0,-1.4,0.11,0.12,4.99,0,-0.0438,-0.0802,-0.0766,-0.0718,-0.088,-0.0733,0.2017,0.482,1.8919,3.407
"Aneka Gas Industri Tbk.",AGII,Chemicals,31/03/2020,December,3.07,1720,50.9,544.43,7190,3870,3260,37.83,98.48,18.97,3.25,25,710,1063,49,140,1083,0.0058,22.4,0.79,0.53,11.35,0.13,0.4531,0.1808,0.0348,-0.1488,0.0232,0.0105,1.1869,0.2371,0.7872,1.0355
"Argha Karya Prima Industry Tbk",AKPI,"Plastics & Packaging",31/03/2020,December,0.68,201.28,39,572.25,3190,1720,1470,53.69,19.53,-2.54,12,-15,3366,2166,316,96,2166,0.0405,-19.73,0.09,0.14,0.94,-0.8,0.0928,0.0341,-0.0044,-0.0275,-0.0068,-0.0031,1.1656,0.0583,0.6598,1.0693
"Alkindo Naratama Tbk.",ALDO,"Pulp & Paper",31/03/2020,December,1.1,440,293.2,311.38,938.79,394.24,424.6,20.85,27.5,8.16,1.1,30,1132,386,76,16,495,0.0028,13.33,0.35,1.04,5.28,0.0367,0.2022,0.0883,0.0261,0.0246,0.0768,0.0347,0.9285,0.0555,1.0185,1.735
"Alakasa Industrindo Tbk",ALKA,"Metal And Allied Products",31/03/2020," December",0.50767,217.28,72,746.22,673.81,565.32,103.55,109.31,5.4,2.13,0,17,5880,204,861,777,214,0,25.18,0.07,2.1,0.5,0,0.0249,0.0072,0.0028,-0.0027,0.0822,0.0126,5.4597,0.7003,1.135,1.1587
"Alumindo Light Metal Industry",ALMI,"Metal And Allied Products",31/03/2020," December",0.616,129.36,32.3,235.3,1790,1830,-41.48,141.13,-26.58,52.12,0,338,1528,-67,916,57,-67,0,0.62,0.14,-3.13,0.23,0,-0.0817,-0.1129,0.2215,0.1354,-5.0256,0.1163,-44.2001,0.0212,0.2537,0.6846
"Asahimas Flat Glass Tbk.",AMFG,"Ceramics, Glass, Porcelain",31/03/2020," December",0.434,1190,112.2,1060,8740,5910,2830,181.31,-21.27,-581.57,30,-5360,9734,6517,1671,800,6517,0.0109,-0.51,0.28,0.42,1.65,-0.0056,0.1132,-0.0201,-0.5506,-1.057,-0.8224,-0.2662,2.0886,0.134,0.4028,0.9266
"Asiaplast Industries Tbk.",APLI,"Plastics & Packaging",31/03/2020," December",1.36,168.97,103.3,90.86,428.16,215.23,213,7.67,3.51,2.07,0,6,267,156,23,15,156,0,20.67,0.46,0.79,5.51,0,0.1693,0.0385,0.0228,-0.005,0.0389,0.0193,1.0105,0.2076,0.822,1.4202
"Arwana Citramulia Tbk.",ARNA,"Ceramics, Glass, Porcelain",31/03/2020," December",7.34,2720,2514.8,583.61,1740,672.05,1050,77.3,92.45,65.7,22,36,318,143,42,32,146,0.0595,10.28,1.16,2.59,8.79,0.6111,0.2767,0.1584,0.1125,0.1335,0.2498,0.1507,0.639,0.4019,1.4571,1.6241
"Saranacentral Bajatama Tbk.",BAJA,"Metal And Allied Products",31/03/2020," December",1.8,108,24,348.69,863.91,886.89,-22.98,-34.08,5.88,-99.38,0,-221,775,-13,-76,8,-13,0,-0.27,0.08,-4.62,-0.79,0,0.0277,0.0168,-0.285,-0.2975,17.2956,-0.4601,-38.5875,0.0163,0.3059,0.7618
"Berlina Tbk.",BRNA,"Plastics & Packaging",31/03/2020," December",0.97911,979.11,750.3,328.8,2280,1330,894.53,11.87,-0.857,-27.12,0,-111,1343,914,49,47,976,0,-9.01,0.74,1.09,20.62,0,0.0974,-0.0026,-0.0824,-0.168,-0.1212,-0.0475,1.483,0.0526,0.5283,0.8068
"Barito Pacific Tbk.",BRPT,Chemicals,31/03/2020," December",93.39,113930,477.1,8548.4,99820,61600,16100,-11998,789.74,-29.26,2.66,-1.4,383.6,182,54.6,113.4,429.8,0.0023,-828.22,2.72,5.75,-19.16,0.2393,0.1506,0.0923,-0.0034,-0.066,-0.0072,-0.0011,3.8133,0.6535,1.3263,1.5948
"Betonjaya Manunggal Tbk.",BTON,"Metal And Allied Products",31/03/2020," December",0.72,138.24,641.2,26.32,269.48,56.22,213.26,6.51,0.07376,29.09,0,162,146,296,36,277,296,0,1.19,1.31,0.65,5.31,0,0.0858,0.0028,1.1054,1.0675,0.5456,0.4318,0.2636,3.8696,4.197,4.4707
"Cahayaputra Asa Keramik Tbk.",CAKK,"Ceramics, Glass, Porcelain",31/03/2020," December",1.2,60.17,50,64.84,337.77,113.9,223.87,2.48,4.04,2.02,0,7,216,186,8,1,186,0,7.14,0.23,0.27,6.06,0,0.1316,0.0622,0.0311,0.035,0.0361,0.0239,0.5088,0.0226,0.8744,1.5531
"Charoen Pokphand Indonesia Tbk",CPIN,"Animal Feed",31/03/2020," December",16.4,98390,27326.1,13890,30750,8760,21980,1350,1300,922.26,118,225,3388,1340,330,205,1341,0.0197,26.67,1.77,4.48,18.19,0.5244,0.1397,0.0935,0.0663,0.0749,0.1678,0.1199,0.3985,0.5311,1.1768,2.2772
