Company_Name,Code_Name,Subsector,MR_Quarter,Fin_Yr_End,Iss_Share,Mar_Cap,St_Ind,Sales,Assets,Liability,Equity,Cash_Flow,Op_Profit,Net_Profit,DPS,EPS,RPS,BVPS,CFPS,CEPS,NAVS,Div_Yield,PER,PSR,PBVR,PCFR,DPR,GPM,OPM,NPM,EBITM,ROE,ROA,DER,CR,QR,CRR
"Asuransi Bina Dana Arta Tbk.",ABDA,Insurance,31/03/2020," December",0.62081,3970,1461.1,262.2,2570,1320,1250,1.25,20.85,30.11,190,194,1689,2013,-228,1182,2013,0.0297,32.99,3.79,3.18,-28.06,0.9794,0,0.0795,0.1148,0.1167,0.0963,0.0468,1.056,0.6182,0,1.873
"Adira Dinamika Multi Finance T",ADMF,"Financial Institution",31/03/2020," December",1,7300,314,2420,34800,27320,7470,7.47,1630,520.11,1054.5,2080,9683,7473,4569,2199,7473,0.1445,3.51,0.75,0.98,1.6,0.507,0,0.6745,0.2148,0.0953,0.2783,0.0597,3.6565,0.1314,0,1.9455
"Bank Rakyat Indonesia Agroniag",AGRO,Bank,31/03/2020," December",21.34,3200,245.1,539.03,26600,22500,4100,4.1,12.15,16.7,1.9136,3,101,192,128,76,192,0.0128,50,1.48,0.78,1.17,0.6379,0,0.0225,0.0309,0,0.0163,0.0025,5.4917,0.0717,1.1672,1.1672
"Bank IBK Indonesia Tbk.",AGRS,Bank,31/03/2020," December",11.27,1130,90.9,218.71,6650,5490,1160,1.16,-175.1,-168.61,0,-60,123,103,174,68,163,0,-1.67,0.81,0.97,0.58,0,0,-0.8006,-0.7709,0,-0.5813,-0.1014,4.7332,0.0882,1.1382,1.1382
"Asuransi Harta Aman Pratama Tb",AHAP,Insurance,31/03/2020," December",2.94,147,100.8,24.7,757.84,540.86,216.98,0.21698,-29.12,1.89,0,3,34,74,11,9,74,0,16.67,1.49,0.68,4.6,0,0,-1.1789,0.0764,0.0765,0.0348,0.0099,2.4927,0.0504,0,1.4485
"Asuransi Multi Artha Guna Tbk.",AMAG,Insurance,31/03/2020," December",5,1400,266.7,192.5,5090,3220,1870,1.87,-51.4,21.87,0,17,154,375,69,25,375,0,16.47,1.82,0.75,4.07,0,0,-0.267,0.1136,0.1156,0.0466,0.0171,1.7171,0.0405,0,1.2988
"Bank Amar Indonesia Tbk.",AMAR,Bank,31/03/2020," December",8.04,3150,225.3,298.76,3850,2730,1120,1.12,20.35,19.52,0,10,149,139,-46,19,139,0,39.2,2.64,2.82,-8.46,0,0,0.0681,0.0653,0,0.0697,0.0202,2.4418,0.0568,1.3245,1.3245
"Ashmore Asset Management Indon",AMOR,"Securities Company",31/03/2020," June",1.11,2220,105.3,224.7,337.34,61.54,275.8,0.2758,102.04,69.47,0,83,270,248,44,166,248,0,24.1,7.42,8.06,45.01,0,0,0.4541,0.3091,0.3574,0.3358,0.2745,0.2231,3.1912,0,5.7319
"Pacific Strategic Financial Tb",APIC,"Others - Finance",31/03/2020," December",11.77,9710,877.5,926.25,4170,2250,1850,1.85,910.78,83.91,0,29,315,157,148,28,163,0,28.45,2.62,5.25,5.58,0,0,0.9832,0.0905,0.0548,0.1813,0.0804,1.2175,0.2213,0,2.549
"Bank Jago Tbk.",ARTO,Bank,31/03/2020," December",10.86,32130,2242.4,20.77,1210,558.37,654.36,0.65436,-25.37,-25.38,0,-9,69,60,-343,68,542,0,-328.89,42.97,49.33,-8.62,0,0,-1.2214,-1.2215,0,-0.1551,-0.0836,0.8533,0.1463,1.8505,1.8505
