Company_Name,Code_Name,Subsector,MR_Quarter,Fin_Yr_End,Iss_Share,Mar_Cap,St_Ind,Sales,Assets,Liability,Equity,Cash_Flow,Op_Profit,Net_Profit,DPS,EPS,RPS,BVPS,CFPS,CEPS,NAVS,Div_Yield,PER,PSR,PBVR,PCFR,DPR,GPM,OPM,NPM,EBITM,ROE,ROA,DER,CR,QR,CRR
"Maming Enam Sembilan Mineral T",AKSI,Transportation,31/03/2020," December",0.72,226.08,157,89.91,245.5,146.75,98.47,0.09847,-13.03,-15.26,0,-85,500,137,21,62,137,0,-3.69,0.63,2.29,14.69,0,0.0118,-0.1448,-0.1697,-0.2001,-0.6198,-0.2486,1.4902,0.5663,0,1.4311
"Adi Sarana Armada Tbk.",ASSA,Transportation,31/03/2020," December",3.4,1490,112.8,701.62,5110,3700,1230,1.23,77.37,34.8,0,41,826,361,52,90,415,0,10.73,0.53,1.22,8.54,0,0.2887,0.1102,0.0495,-0.0449,0.1136,0.0272,3.022,0.2309,0.6168,0.6342
"Bali Towerindo Sentra Tbk.",BALI,"Non Building Construction",31/03/2020," December",3.93,3500,1112.5,180.15,4240,2270,1980,1.98,87.07,8.93,0,9,183,502,147,3,502,0,98.89,4.86,1.77,6.07,0,0.5645,0.4833,0.0495,-0.2199,0.018,0.0084,1.1469,0.0106,0.234,0.2885
"Pelayaran Nasional Bina Buana",BBRM,Transportation,31/03/2020," December",5.37,268.35,21.7,48.3,1044.4,808.64,236.6,0.2366,-10.99,-186.2,0,-14,36.4,44.8,-1.4,8.4,44.8,0,-3.09,1.19,0.97,-33.94,0,-0.0968,-0.2274,-0.3853,-0.542,-0.3147,-0.0712,3.4169,0.4152,1.0598,1.0742
"Batulicin Nusantara Maritim Tb",BESS,Transportation,31/03/2020," December",3.4,802.4,224.8,58.68,603.83,327.9,275.93,0.27593,12.97,5.6,0,7,69,81,0,5,81,0,33.71,3.42,2.91,-813.37,0,0.318,0.2209,0.0954,-0.0446,0.0811,0.037,1.1884,0.1822,0,0.7333
"Blue Bird Tbk.",BIRD,Transportation,31/03/2020," December",2.5,2550,15.7,885.18,7700,2280,5320,5.32,21.47,13.74,73,22,1415,2127,229,223,2167,0.0716,46.36,0.72,0.48,4.46,3.3182,0.233,0.0242,0.0155,-0.0131,0.0103,0.0071,0.4284,0.6148,1.1303,1.1501
"Berlian Laju Tanker Tbk",BLTA,Transportation,31/03/2020," December",25.94,1300,65.8,59.36,948.92,513.1,435.82,0.43582,0.79086,7.996,0,1.4,9.8,16.8,1.4,0,16.8,0,33.94,4.7,2.55,25.46,0,0.1991,0.0133,0.1347,0.0676,0.0733,0.0337,1.177,0.098,1.7494,1.8032
"Batavia Prosperindo Trans Tbk.",BPTR,Transportation,31/03/2020," December",1.55,124,80,41.7,533.2,312.5,220.7,0.2207,11.95,2.12,0,5,108,142,27,1,142,0,16,0.74,0.56,2.92,0,0.4082,0.2866,0.0507,-0.1279,0.0383,0.0158,1.4159,0.0125,0.274,0.276
"Bakrie Telecom Tbk.",BTEL,Telecommunication,30/09/2019," December",36.82,1840,46.9,5.92,714.13,16300,-15580,-15.58,-7.28,-302.53,0,-11,0,-423,0,0,-423,0,-4.55,233.4,-0.12,1587.3,0,0,-1.2312,-51.1372,-119.305,0.0258,-0.5648,-1.0458,0.0001,0,0.0004
"Bukaka Teknik Utama Tbk.",BUKK,"Non Building Construction",31/03/2020," December",2.64,1800,115.3,1080,4800,2230,2560,2.56,154.74,128.19,0,194,1641,970,-163,97,973,0,3.51,0.41,0.7,-4.18,0,0.1727,0.1428,0.1183,0.1196,0.2003,0.1067,0.8726,0.122,0.6565,1.1835
