Company_Name,Code_Name,Subsector,MR_Quarter,Fin_Yr_End,Iss_Share,Mar_Cap,St_Ind,Sales,Assets,Liability,Equity,Cash_Flow,Op_Profit,Net_Profit,DPS,EPS,RPS,BVPS,CFPS,CEPS,NAVS,Div_Yield,PER,PSR,PBVR,PCFR,DPR,GPM,OPM,NPM,EBITM,ROE,ROA,DER,CR,QR,CRR
"Acset Indonusa Tbk.",ACST,"Building Construction",31/03/2020," December",0.7,186.2,11.2,477.61,4700,4530,104.49,2170,-12.83,-124.44,5,-711,2729,149,12378,678,238,0.0188,-0.37,0.1,1.79,0.02,-0.007,0,-0.0268,-0.2605,-0.5825,-4.7638,-0.106,43.3407,0.2204,1.518,1.6324
"Adhi Karya (Persero) Tbk.",ADHI,"Building Construction",31/03/2020," December",3.56,2260,423.3,3070,36580,30940,5620,-1150,232.97,14.56,18.6418,16,3444,1577,-1297,330,1584,0.0294,39.69,0.18,0.4,-0.49,1.1651,0.1349,0.0759,0.0047,-0.0614,0.0103,0.0015,5.5087,0.0457,0.8949,1.184
"Makmur Berkah Amanda Tbk.",AMAN,"Property And Real Estate",31/03/2020," December",3.87,759.21,178.2,25.18,800.47,223.17,567.98,-91.22,5.69,3.3,0,3,26,147,-94,7,149,0,65.33,7.54,1.33,-2.08,0,0.6283,0.2259,0.1311,0.0092,0.0232,0.0165,0.3929,0.2048,1.094,2.7621
"Agung Podomoro Land Tbk.",APLN,"Property And Real Estate",31/03/2020," December",22.7,2570,30.9,1320,31220,20180,8170,183.04,278.15,-448.57,0,-79,233,360,32,34,486,0,-1.43,0.49,0.31,3.5,0,0.4151,0.2104,-0.3394,-0.4717,-0.2196,-0.0574,2.4699,0.0831,0.4274,1.0254
"Armidian Karyatama Tbk.",ARMY,"Property And Real Estate",30/09/2019," December",9.01,450.31,16.7,78.93,1860,407.5,1450,-26.52,17.19,14.16,0,2,12,161,-4,9,161,0,25,4.28,0.31,-12.74,0,0.3507,0.2177,0.1794,0.1187,0.013,0.0101,0.2815,0.5262,1.3388,2.9321
"Andalan Sakti Primaindo Tbk.",ASPI,"Property And Real Estate",31/03/2020," December",0.68,208.08,291.4,1.15,97.34,28.92,67.65,-23.97,-1.59,-1.56,0,-9,7,99,-141,44,101,0,-34,45.06,3.09,-2.17,0,0.2646,-1.374,-1.3523,-1.3531,-0.0923,-0.0641,0.4275,9.5173,17.0469,30.0365
"Alam Sutera Realty Tbk.",ASRI,"Property And Real Estate",31/12/2019," December",19.65,2570,124.8,3480,21890,11330,10450,1690,1690,1010,0,51,177,532,86,62,538,0,2.57,0.74,0.25,1.52,0,0.632,0.4867,0.291,0.1152,0.0967,0.0462,1.0841,0.6283,1.1029,1.308
"Bekasi Asri Pemula Tbk.",BAPA,"Property And Real Estate",31/03/2020," December",0.66178,33.09,33.3,0.67408,142.93,10.12,132.8,-1.8,-2.77,-2.8,0,-17,4,201,-11,1,201,0,-2.94,12.27,0.25,-4.59,0,0.4773,-4.1068,-4.1498,-4.3647,-0.0842,-0.0782,0.0762,0.0954,0.2768,15.6227
"Bhakti Agung Propertindo Tbk.",BAPI,"Property And Real Estate",31/03/2020," December",5.59,279.59,33.3,1.62,607.92,175.37,432.55,-13.2,1.62,-1.14,0,-1,1,77,-9,0,77,0,-50,43.09,0.65,-5.29,0,0,0.9981,-0.6997,-0.6757,-0.0104,-0.0074,0.4054,0.0243,0.6311,17.7659
"Bumi Benowo Sukses Sejahtera PT",BBSS,"Property And Real Estate",31/03/2020," December",4.8,691.2,120,0.144,107.96,5.75,102.21,0.13266,-0.6187,-0.63354,0,-1,0,21,0,0,21,0,-144,1200,6.86,1302.58,0,0,-4.2986,-4.4027,-4.4027,-0.0248,-0.0234,0.0563,0.4049,0.9298,14.9964
"Bumi Citra Permai Tbk.",BCIP,"Property And Real Estate",31/03/2020," December",1.43,71.5,45.5,22.75,879.79,440.17,430.64,15.03,4.8,5.72,0,16,64,301,42,7,307,0,3.13,0.79,0.17,1.19,0,0.6001,0.2109,0.2514,0.305,0.0531,0.026,1.0221,0.0447,0.2163,1.6521
"Bekasi Fajar Industrial Estate",BEST,"Property And Real Estate",31/03/2020," December",9.65,1130,68.8,53.46,6500,2260,4240,-47.12,5.2,-226.38,8.75,-94,22,440,-20,74,440,0.0748,-1.24,5.28,0.27,-5.99,-0.0931,0.5711,0.0971,-4.2346,-4.9375,-0.2134,-0.1392,0.5331,3.9594,7.9667,14.4243
"Binakarya Jaya Abadi Tbk.",BIKA,"Property And Real Estate",31/03/2020," December",0.59228,110.76,18.7,74.56,2330,1720,287.56,10.71,0.23167,-6.71,0,-45,504,486,72,150,1027,0,-4.16,0.37,0.38,2.59,0,0.5021,0.0031,-0.0899,-0.328,-0.0933,-0.0115,5.9907,0.1627,0.279,3.3848
"Bhuwanatala Indah Permai Tbk.",BIPP,"Property And Real Estate",31/03/2020," December",5.03,286.63,23.8,193.79,2150,987.33,825.83,32.58,59.81,24.82,0,20,154,164,26,40,231,0,2.85,0.37,0.35,2.2,0,0.4133,0.3086,0.128,0.0709,0.1201,0.0462,1.1956,0.3843,0.4554,1.8261
"Bukit Darmo Property Tbk",BKDP,"Property And Real Estate",31/03/2020," December",7.51,375.7,41.7,10.41,825.05,320.59,504.47,0.87516,-6.55,-6.93,0,-4,6,67,0,8,67,0,-12.5,9.02,0.75,107.32,0,-0.0614,-0.6292,-0.6656,-0.5762,-0.0549,-0.0336,0.6355,0.3444,0.3725,0.6598
"Sentul City Tbk.",BKSL,"Property And Real Estate",31/12/2019," December",67.08,3350,3.4,951.42,17280,6580,9510,-502.43,288.95,49.51,0,1,17,142,-9,7,194,0,50,2.9,0.35,-5.5,0,0.5952,0.3037,0.052,-0.1752,0.0052,0.0028,0.6914,0.1115,0.6547,1.4307
"Bumi Serpong Damai Tbk.",BSDE,"Property And Real Estate",31/03/2020," December",21.17,15880,146.9,1500,60110,27920,27800,135.32,566.17,259.65,0,49,311,1313,28,541,1672,0,15.31,2.41,0.57,26.67,0,0.6974,0.3785,0.1735,-0.1327,0.0373,0.0172,1.0044,1.4715,2.7435,4.2304
"Natura City Developments Tbk.",CITY,"Property And Real Estate",31/03/2020," December",5.4,275.54,51,21.94,1000,196.04,806.84,99.64,-0.40761,0.12565,0,0,16,149,74,13,149,0,0,3.14,0.34,0.69,0,0.5785,-0.0185,0.0057,-0.0235,0.0006,0.0005,0.243,1.0852,4.8848,8.9989
"Cowell Development Tbk.",COWL,"Property And Real Estate",30/09/2019," December",4.87,243.56,38.5,236.94,3660,2770,892.21,-16.73,63.44,-25.92,0,-7,65,183,-5,3,183,0,-7.14,0.77,0.27,-10.93,0,0.6839,0.2677,-0.1093,-0.5084,-0.0387,-0.0094,3.1031,0.0242,0.2568,1.3984
"Capri Nusa Satu Properti Tbk.",CPRI,"Property And Real Estate",31/03/2020," December",2.43,121.67,40,0.79286,235.82,45.07,190.29,-0.52156,-0.45981,-0.58227,0,-1,1,78,-1,2,78,0,-50,38.36,0.64,-58.32,0,0.5973,-0.58,-0.7339,-1.2021,-0.0122,-0.0098,0.2368,0.2432,0,4.3182
"Cahayasakti Investindo Sukses",CSIS,"Building Construction",31/03/2020," December",1.31,65.35,16.7,24.58,585.15,323.68,137.21,-10,5.53,3.76,0,11,75,105,-31,4,200,0,4.55,0.66,0.48,-1.63,0,0.4301,0.1528,0.225,0.144,0.1094,0.0256,2.359,0.025,0.3106,2.4395
"Ciputra Development Tbk.",CTRA,"Property And Real Estate",31/03/2020," December",18.56,12250,147.8,1510,37870,20960,14710,312.67,335.61,177.51,10,38,325,793,67,229,911,0.0152,17.37,2.03,0.83,9.79,0.2632,0.4691,0.2222,0.1175,-0.0233,0.0482,0.0187,1.4249,0.5014,0.8505,2.3129
"Diamond Citra Propertindo Tbk.",DADA,"Property And Real Estate",31/12/2019," December",7.18,631.58,86.3,112.48,247.24,144.67,102.12,21.38,10.46,5.32,0,1,16,14,3,1,14,0,88,5.61,6.29,29.54,0,0.2132,0.0929,0.0473,0.0715,0.0521,0.0215,1.4166,0.0642,0.7306,1.5053
"Duta Anggada Realty Tbk.",DART,"Property And Real Estate",31/12/2019," December",3.14,753.93,44.4,461.44,6880,3570,3320,-234.31,28.48,-260.77,0,-83,147,1055,-75,23,1055,0,-2.89,1.63,0.23,-3.22,0,0.4369,0.0617,-0.5651,-1.1347,-0.0786,-0.0378,1.0756,0.0499,0.1692,0.1786
"Nusa Konstruksi Enjiniring Tbk",DGIK,"Building Construction",31/03/2020," December",5.54,277.06,22.2,127.9,1290,625.28,661.69,-27.89,-18.32,-8.99,0,-6,92,119,-20,18,119,0,-8.33,0.54,0.42,-2.48,0,0.1178,-0.1432,-0.0702,-0.0688,-0.0543,-0.0279,0.945,0.1952,1.1493,1.1744
"Intiland Development Tbk.",DILD,"Property And Real Estate",31/03/2020," December",10.37,1890,31.7,830.56,15930,9900,5170,-16.36,234.95,84.41,0,33,320,499,-6,137,581,0,5.52,0.57,0.36,-28.83,0,0.4189,0.2828,0.1016,-0.1379,0.0652,0.0211,1.9135,0.3112,0.4677,1.0142
"Puradelta Lestari Tbk.",DMAS,"Property And Real Estate",31/03/2020," December",48.2,8680,85.7,107.64,7660,1220,6440,-22.34,34.15,53.37,42,4,9,134,-2,14,134,0.2333,45,20.15,1.34,-97.07,10.5,0.6787,0.3172,0.4958,0.3701,0.0331,0.0278,0.1894,0.5675,1.575,3.458
"Duta Pertiwi Tbk",DUTI,"Property And Real Estate",31/03/2020," December",1.85,8660,470.7,385.2,13770,3250,8640,57.6,131.27,131.34,0,284,833,4672,125,1442,5687,0,16.48,5.62,1,37.58,0,0.7929,0.3407,0.3409,0.1436,0.0607,0.0381,0.3755,1.4312,1.9976,3.591
"Bakrieland Development Tbk.",ELTY,"Property And Real Estate",30/09/2019," December",43.52,2180,10.3,728.95,12790,3610,7880,-37.99,-45.32,-369.73,0,-11,22,181,-1,1,211,0,-4.55,2.24,0.28,-42.96,0,0.437,-0.0621,-0.5072,-0.6046,-0.0625,-0.0385,0.4582,0.0178,1.168,1.8563
"Megapolitan Developments Tbk.",EMDE,"Property And Real Estate",31/03/2020," December",3.35,676.7,80.8,32.16,2160,1400,755.24,-2.72,-6.76,-13.28,0,-16,38,225,-3,17,227,0,-12.63,5.26,0.9,-62.16,0,0.5115,-0.2102,-0.4128,-0.6495,-0.0703,-0.0245,1.8578,0.1355,0.4795,3.5905
"Fortune Mate Indonesia Tbk",FMII,"Property And Real Estate",31/03/2020," December",2.72,2180,160,19.5,879.14,251.41,627.45,-1.29,8.96,0.269,0,0,29,231,-2,16,231,0,0,27.9,3.46,-421.21,0,0.587,0.4591,0.0137,-0.1797,0.0017,0.0012,0.4007,0.5347,1.1373,3.2968
"Forza Land Indonesia Tbk.",FORZ,"Property And Real Estate",31/03/2020," December",1.98,99.2,22.7,4.4,620.88,329.93,290.59,5.94,-1.04,5.11,0,10,9,146,12,1,147,0,5,5.64,0.34,4.17,0,0.1991,-0.237,1.1622,1.1622,0.0703,0.0329,1.1354,0.0101,0.3838,2.1867
"Gading Development Tbk.",GAMA,"Property And Real Estate",31/03/2020," December",10.01,500.55,47.6,6.85,1390,294.45,1100,-1.69,-2.52,-3.59,0,-1,3,110,-1,4,110,0,-50,18.26,0.45,-74.25,0,0.49,-0.3676,-0.5233,-0.7511,-0.013,-0.0103,0.2684,0.2654,0.4107,3.3127
