Company_Name,Code_Name,Subsector,MR_Quarter,Fin_Yr_End,Iss_Share,Mar_Cap,St_Ind,Sales,Assets,Liability,Equity,Cash_Flow,Op_Profit,Net_Profit,DPS,EPS,RPS,BVPS,CFPS,CEPS,NAVS,Div_Yield,PER,PSR,PBVR,PCFR,DPR,GPM,OPM,NPM,EBITM,ROE,ROA,DER,CR,QR,CRR
"Mahaka Media Tbk.",ABBA,"Advertising, Printing And Medi",31/03/2020," December",2.76,137.76,87.7,41.19,404.09,351.67,69.88,-9.5,-9.52,-7.99,0,-12,60,25,-14,7,19,0,-4.17,0.84,2,-3.63,0,0.5351,-0.2311,-0.194,-0.2843,-0.4575,-0.0791,5.0324,0.1006,0.7452,0.7827
"ABM Investama Tbk.",ABMM,"Investment Company",31/03/2020," December",2.75,3630,35.2,2264.36,12458.3,9105.88,3631.6,187.88,224.56,25.2,13.17,36.4,3290,1318.8,273,553,1218,0.01,30.9,0.34,0.86,4.14,0.3063,0.1765,0.0991,0.0111,-0.0155,0.0276,0.008,2.5074,0.4383,1.0022,1.1279
"Ace Hardware Indonesia Tbk.",ACES,"Retail Trade",31/03/2020," December",17.15,27950,198.8,1970,6990,2090,4880,402.97,267.44,245.68,28.25,57,459,285,94,90,285,0.0173,28.6,3.55,5.72,17.34,0.4956,0.4959,0.1359,0.1249,0.1426,0.2012,0.1405,0.4288,1.9646,2.6529,5.8562
"Asia Sejahtera Mina Tbk.",AGAR,"Wholesale (Durable & Non-Durab",31/03/2020," December",1,498,452.7,38.47,175.95,65.2,110.74,11.31,-2.8,1.84,0,7,154,111,45,13,111,0,71.14,3.24,4.49,11,0,0.0146,-0.0728,0.0478,-0.0725,0.0665,0.0418,0.5888,0.2665,1.058,2.5494
"Akbar Indo Makmur Stimec Tbk",AIMS,"Wholesale (Durable & Non-Durab",30/06/2020," December",0.22,39.6,144,1.53,19.08,5.71,13.37,-0.18212,-0.2511,-0.2679,0,-3,14,61,-2,0,61,0,-60,12.91,2.95,-108.72,0,0.049,0,0,-0.1656,-0.0528,-0.0405,0.4273,0.0045,0,4.1612
"Anugerah Kagum Karya Utama Tbk",AKKU,"Tourism, Restaurant And Hotel",31/03/2020," December",6.45,322.47,75.9,1.1,934.6,356.53,578.06,-30.97,-9.39,-9.34,0,-6,1,90,-19,1,90,0,-8.33,73.36,0.56,-2.6,0,0.9853,-8.5404,-8.4977,-8.5882,-0.0646,-0.0399,0.6168,0.0222,0.1515,0.7854
"AKR Corporindo Tbk.",AKRA,"Wholesale (Durable & Non-Durab",31/03/2020," December",4.01,9880,1960.6,6350,21590,11230,8540,-231.7,364.41,227.77,110,227,6322,2126,-231,411,2580,0.0447,10.84,0.39,1.16,-10.66,0.4846,0.0879,0.0574,0.0358,0.0358,0.1067,0.0422,1.3155,0.1967,0.8728,1.2581
"Sumber Alfaria Trijaya Tbk.",AMRT,"Wholesale (Durable & Non-Durab",31/03/2020," December",41.52,32180,1977.6,19330,30180,22890,7100,1710,282.43,350.4,13.38,34,1862,171,165,171,176,0.0173,22.79,0.42,4.53,4.7,0.3935,0.2034,0.0146,0.0181,0.0146,0.1974,0.0464,3.2237,0.3762,0.5184,0.9962
"Arita Prima Indonesia Tbk.",APII,"Wholesale (Durable & Non-Durab",31/03/2020," December",1.08,236.67,100,68.78,505.56,196.39,309.05,7,15.2,7.94,0,30,256,287,26,11,287,0,7.33,0.86,0.77,8.46,0,0.5643,0.221,0.1154,0.0906,0.1027,0.0627,0.6355,0.0663,0.5932,1.5699
"Arthavest Tbk",ARTA,"Tourism, Restaurant And Hotel",31/03/2020," December",0.44667,144.72,187.9,14.6,428.85,60.46,199.19,1.36,-1.89,1.7,0,15,131,446,12,244,825,0,21.6,2.48,0.73,26.64,0,0.5886,-0.1292,0.1166,-0.1657,0.0341,0.0158,0.3035,17.4188,19.8367,20.0076
"Astra Graphia Tbk.",ASGR,"Computer And Services",31/03/2020," December",1.35,903.68,138.9,709.86,2680,1050,1630,-336.15,10.11,2.33,74,7,2105,1205,-997,279,1205,0.1104,95.71,0.32,0.56,-6.7,10.5714,0.2094,0.0142,0.0032,-0.0072,0.0057,0.0034,0.6488,0.3989,1.5129,2.1969
"Anabatic Technologies Tbk.",ATIC,"Computer And Services",31/03/2020," December",2.32,1710,105.7,1460,4770,3280,1330,210.99,76.42,-17.48,7,-30,2523,575,364,198,641,0.0095,-24.67,0.29,1.29,2.03,-0.2333,0.1777,0.0523,-0.0119,-0.0399,-0.0525,-0.0146,2.4657,0.1568,0.7722,1.1267
"Agro Yasa Lestari Tbk.",AYLS,"Wholesale (Durable & Non-Durab",31/12/2019," December",0.85342,42.67,50,39.34,59.42,28.24,31.18,-8.15,1.03,0.46377,0,1,46,37,-10,1,37,0,50,1.08,1.35,-5.24,0,0.1991,0.026,0.0117,0.0164,0.0148,0.0078,0.9058,0.0281,1.0549,1.712
"Bayu Buana Tbk",BAYU,"Tourism, Restaurant And Hotel",31/03/2020," December",0.35322,370.88,129.5,358.74,754.26,314.16,436.06,24.19,-2.48,2.54,0,29,4063,1235,274,1226,1246,0,36.21,0.26,0.85,3.83,0,0.0665,-0.0069,0.007,0.0076,0.0233,0.0134,0.7204,1.5294,0,2.1006
"MNC Investama Tbk.",BHIT,"Investment Company",31/03/2020," December",67.77,3390,146.2,3620,57680,29940,12620,982.06,876.68,-808.94,0,-48,214,186,58,26,409,0,-1.04,0.23,0.27,0.86,0,0.4706,0.2419,-0.2232,-0.3071,-0.2564,-0.0561,2.3728,0.1012,0.9055,1.09
"Graha Layar Prima Tbk.",BLTZ,"Advertising, Printing And Medi",31/03/2020," December",0.87394,2710,206.7,254.52,2970,1780,1190,-12.11,-26.08,-54.31,0,-249,1165,1361,-55,327,1361,0,-12.45,2.66,2.28,-55.93,0,0.2699,-0.1024,-0.2133,-0.3247,-0.1826,-0.0732,1.4929,0.3204,0.5625,0.5883
"Berkah Prima Perkasa Tbk.",BLUE,"Wholesale (Durable & Non-Durab",31/12/2019," December",0.418,209,384.6,100.09,81.99,7.11,74.88,-9.09,18.44,13.09,7.5,31,239,179,-22,22,179,0.015,16.13,2.09,2.79,-22.99,0.2419,0.4802,0.1842,0.1307,0.1698,0.1748,0.1596,0.095,1.4965,4.7329,8.0421
"Bintang Mitra Semestaraya Tbk",BMSR,"Wholesale (Durable & Non-Durab",31/03/2020," December",1.16,60.28,10.4,705.36,756.98,600.83,151.57,84.57,6.31,1.65,0,6,2434,131,292,73,135,0,8.67,0.02,0.4,0.18,0,0.0607,0.0089,0.0023,-0.0083,0.0434,0.0086,3.9639,0.1757,1.2985,1.3022
"Global Mediacom Tbk.",BMTR,"Investment Company",31/03/2020," December",15.33,2940,156.3,2910,30560,13400,10640,766.17,837.05,140.21,0,37,759,694,200,51,1119,0,5.19,0.25,0.28,0.96,0,0.4894,0.2875,0.0481,-0.0083,0.0527,0.0183,1.2595,0.1194,0.9168,1.4034
"Bakrie & Brothers Tbk",BNBR,"Investment Company",31/03/2020," December",20.86,1040,0.2,762.65,16170,14140,2010,43.93,12.23,-279.1,0,-54,146,97,8,6,97,0,-0.93,0.34,0.52,5.94,0,0.1974,0.016,-0.3659,-0.4172,-0.5544,-0.069,7.0246,0.0095,0.925,0.9853
"Bintang Oto Global Tbk.",BOGA,"Wholesale (Durable & Non-Durab",31/03/2020," December",3.8,5040,1286.4,168.07,605.92,178,427.83,-10.02,1.95,0.44039,0,0,177,112,-11,7,113,0,0,7.5,11.83,-125.78,0,0.0592,0.0115,0.0026,-0.0037,0.0041,0.0029,0.4161,0.1763,0.4465,1.1575
"Bali Bintang Sejahtera Tbk.",BOLA,"Others - Trade Services & Inve",31/03/2020," December",6,954,90.8,41.89,523.72,47.08,473.51,-13.23,3.02,6.99,0,5,28,79,-9,32,79,0,31.8,5.69,2.01,-18.03,0,0.9767,0.0722,0.1667,0.034,0.059,0.0533,0.0994,4.4984,9.9325,10.0182
