Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,755.000000,755.000000,755.000000,755.000000,708.327271,0
2015-07-28,750.000000,785.000000,750.000000,785.000000,736.472717,5200
2015-07-29,785.000000,785.000000,785.000000,785.000000,736.472717,0
2015-07-30,785.000000,785.000000,785.000000,785.000000,736.472717,0
2015-07-31,785.000000,785.000000,785.000000,785.000000,736.472717,0
2015-08-03,780.000000,780.000000,780.000000,780.000000,731.781799,500
2015-08-04,780.000000,780.000000,780.000000,780.000000,731.781799,0
2015-08-05,780.000000,780.000000,780.000000,780.000000,731.781799,0
2015-08-06,780.000000,785.000000,755.000000,755.000000,708.327271,6100
2015-08-07,750.000000,750.000000,710.000000,710.000000,666.109070,31800
2015-08-10,725.000000,725.000000,725.000000,725.000000,680.181824,100
2015-08-11,715.000000,820.000000,715.000000,820.000000,769.309082,2300
2015-08-12,820.000000,820.000000,820.000000,820.000000,769.309082,0
2015-08-13,820.000000,820.000000,820.000000,820.000000,769.309082,0
2015-08-14,820.000000,820.000000,820.000000,820.000000,769.309082,0
2015-08-18,820.000000,820.000000,820.000000,820.000000,769.309082,0
2015-08-19,820.000000,820.000000,820.000000,820.000000,769.309082,0
2015-08-20,820.000000,820.000000,820.000000,820.000000,769.309082,0
2015-08-21,820.000000,820.000000,820.000000,820.000000,769.309082,0
2015-08-24,715.000000,715.000000,715.000000,715.000000,670.799988,10000
2015-08-25,715.000000,715.000000,715.000000,715.000000,670.799988,1300
2015-08-26,715.000000,715.000000,715.000000,715.000000,670.799988,9400
2015-08-27,715.000000,715.000000,715.000000,715.000000,670.799988,800
2015-08-28,715.000000,715.000000,715.000000,715.000000,670.799988,0
2015-08-31,715.000000,715.000000,715.000000,715.000000,670.799988,0
2015-09-01,715.000000,715.000000,715.000000,715.000000,670.799988,0
2015-09-02,740.000000,760.000000,715.000000,760.000000,713.018188,20000
2015-09-03,760.000000,760.000000,760.000000,760.000000,713.018188,0
2015-09-04,800.000000,800.000000,800.000000,800.000000,750.545471,1000
2015-09-07,730.000000,730.000000,730.000000,730.000000,684.872742,5000
2015-09-08,710.000000,710.000000,700.000000,700.000000,656.727295,41500
